系统,模块,功能名称,功能描述,状态,优先级,标签,设计备注,ID,负责人,是否完成,开发备注
GETS,系统启动,首次运行初始化,首次启动检测 data/ 目录无数据文件，自动调用种子生成器创建初始数据集（玩家≥10 / 物品≥50 / 挂单≥20），并写入 JSON 文件,已完成,P0-关键,#Core,seed.py；幂等：仅当文件不存在时执行,1,LVZHEN ZHOU,已完成,services/seed.py + persistence.seed_if_empty
GETS,系统启动,数据加载,启动时从 data/*.json 读取所有数据并构建内存对象（Player / Item / Listing / Transaction）,已完成,P0-关键,#Core,services/persistence.py::load_all,2,LVZHEN ZHOU,已完成,Player/Listing/Transaction 已用 dataclass；Item 待 JIAFENG
GETS,系统启动,数据完整性校验,加载时校验外键完整性（如 inventory 中的 item_id 是否存在），不一致时打印警告但程序继续运行,已完成,P1-重要,#Core,使用自定义异常 DataIntegrityWarning,3,LVZHEN ZHOU,已完成,硬错误抛 DataIntegrityError；交易→挂单缺失为软警告
GETS,系统启动,优雅退出,退出前自动保存所有内存数据到 data/*.json，覆盖 Ctrl+C / 正常退出两种情况,已完成,P0-关键,#Core,atexit + try/finally,4,LVZHEN ZHOU,已完成,App.shutdown 注册到 atexit；KeyboardInterrupt 也走保存
GETS,系统启动,版本信息显示,启动时打印程序名、版本号、当前数据规模（玩家数 / 物品数 / 挂单数）,已完成,P2-一般,#UI,,5,LVZHEN ZHOU,已完成,App.show_banner
GETS,主菜单,显示主菜单,展示所有顶级功能入口（玩家管理 / 市场 / 背包 / 报表 / 退出）,已完成,P0-关键,#UI,ui/cli.py,6,LVZHEN ZHOU,已完成,src/ui/cli.py::TradingCLI._show_main_menu
GETS,主菜单,菜单导航,通过数字 / 字母选择菜单项，进入子菜单或退出,已完成,P0-关键,#UI,,7,LVZHEN ZHOU,已完成,src/ui/cli.py::TradingCLI._handle_main_choice + _prompt_choice
GETS,主菜单,非法输入处理,用户输入非法选项时提示并重新显示菜单，不崩溃,已完成,P0-关键,#UI,自定义 InvalidInputError,8,LVZHEN ZHOU,已完成,src/ui/cli.py::run() 捕获 InvalidInputError 并重绘菜单
GETS,主菜单,操作撤销,支持撤销上一步可逆操作（如取消挂单、误删物品），基于操作栈,已完成,P1-重要,#Structure-Stack,使用自实现 Stack；记录最近 N 步,9,LVZHEN ZHOU,已完成,src/ui/cli.py::OperationStack + _handle_undo
GETS,玩家管理,创建玩家,输入玩家名 + 初始金币，生成 player_id 后保存到内存与文件,已规划,P0-关键,#CRUD,name 长度 1-20，gold ≥ 0,10,WEIJIE ZHOU,未完成,
GETS,玩家管理,玩家列表,展示所有玩家（ID / 名 / 金币 / 背包数量），支持按金币 / 名字排序,已规划,P0-关键,#Read,排序使用通用比较函数,11,WEIJIE ZHOU,未完成,
GETS,玩家管理,玩家详情,选定玩家后查看完整信息：基本属性 + 背包内容 + 挂单中物品 + 历史成交,已规划,P0-关键,#Read,聚合多表查询,12,WEIJIE ZHOU,未完成,
GETS,玩家管理,按 ID 查询玩家,输入 player_id 直接查询，使用哈希表 O(1) 查找,已规划,P0-关键,#Structure-HashMap,使用自实现 HashMap,13,WEIJIE ZHOU,未完成,
GETS,玩家管理,按名字模糊查询,输入关键词搜索玩家昵称（包含匹配），返回匹配列表,已规划,P1-重要,#Search,线性扫描 O(n)；与哈希查询作对比写入报告,14,WEIJIE ZHOU,未完成,
GETS,玩家管理,修改玩家信息,修改昵称（不允许改 ID 与金币）,已规划,P1-重要,#Update,,15,WEIJIE ZHOU,未完成,
GETS,玩家管理,删除玩家,删除前校验：背包须为空、无活跃挂单；否则提示原因不予删除,已规划,P1-重要,#Delete,业务规则保护,16,WEIJIE ZHOU,未完成,
GETS,玩家管理,金币充值（调试用）,管理员模式：手动给玩家加金币，方便测试买卖流程,已规划,P2-一般,#Debug,可隐藏菜单（输入 debug 解锁）,17,WEIJIE ZHOU,未完成,
GETS,物品管理,物品列表,展示所有物品（含类型 / 稀有度 / 基础价值），支持按分类筛选,已规划,P0-关键,#Read,,18,JIAFENG YE,未完成,
GETS,物品管理,物品详情,查看单件物品的所有字段，含子类专属属性（武器攻击 / 防具防御 / 消耗品效果）,已规划,P0-关键,#Polymorphism,触发 __str__ / describe() 多态,19,JIAFENG YE,未完成,
GETS,物品管理,按 ID 查询物品,使用哈希表 O(1) 查找,已规划,P0-关键,#Structure-HashMap,,20,JIAFENG YE,未完成,
GETS,物品管理,按分类浏览,从分类树根节点递归向下浏览，进入叶子节点后列出该类物品,已规划,P0-关键,#Structure-Tree #Recursion,递归树遍历核心演示点,21,JIAFENG YE,未完成,
GETS,物品管理,新增物品（管理员）,管理员模式：填写物品类型 / 名称 / 稀有度 / 基础价值 / 子类属性，写入 items.json,已规划,P1-重要,#CRUD,根据 category 实例化对应 Item 子类,22,JIAFENG YE,未完成,
GETS,物品管理,删除物品（管理员）,删除前校验：无玩家持有、无活跃挂单；否则拒绝,已规划,P2-一般,#Delete,,23,JIAFENG YE,未完成,
GETS,背包,查看背包,展示当前选定玩家的背包，按物品在背包中的顺序显示（双向链表的天然次序）,已规划,P0-关键,#Structure-DoublyLinkedList,核心数据结构演示,24,XINGZHOU PENG,未完成,
GETS,背包,按稀有度排序背包,对背包进行排序展示，但不改变内部存储顺序,已规划,P1-重要,#Sort,排序算法可写入复杂度分析,25,XINGZHOU PENG,未完成,
GETS,背包,从背包移除物品,从背包移除指定物品（用于成交 / 丢弃 / 上架）,已规划,P0-关键,#Structure-DoublyLinkedList,O(1) 删除（已知节点）,26,XINGZHOU PENG,未完成,
GETS,背包,向背包添加物品,向背包末尾添加物品（用于初始化 / 购买入库）,已规划,P0-关键,#Structure-DoublyLinkedList,,27,XINGZHOU PENG,未完成,
GETS,背包,背包容量限制,每个玩家背包上限 N（如 50 件），超限拒绝添加并提示,已规划,P1-重要,#Validation,可在 design-decisions 讨论 N 取值,28,XINGZHOU PENG,未完成,
GETS,市场,挂单上架,选定背包内一件物品 + 输入售价（≥ 1），生成挂单写入 market.json，物品从背包移出但仍属于卖家,已规划,P0-关键,#Create,业务规则：同一物品不能重复挂单,29,MINGJIN LI,未完成,
GETS,市场,撤销挂单,卖家撤销自己的活跃挂单，物品退回背包，挂单状态置 cancelled,已规划,P0-关键,#Update,可被操作栈撤销链覆盖,30,MINGJIN LI,未完成,
GETS,市场,浏览全部挂单,展示所有 active 挂单（卖家 / 物品 / 售价 / 上架时间）,已规划,P0-关键,#Read,,31,MINGJIN LI,未完成,
GETS,市场,按价格区间查询,输入最低价 / 最高价，使用 BST 范围查询返回符合条件挂单,已规划,P0-关键,#Structure-BST #Search,核心 BST 演示点,32,MINGJIN LI,未完成,
GETS,市场,按物品分类筛选,输入分类路径筛选挂单（先查物品分类树、再过滤挂单）,已规划,P1-重要,#Structure-Tree,,33,MINGJIN LI,未完成,
GETS,市场,按卖家筛选,输入 player_id 查看其所有 active 挂单,已规划,P1-重要,#Read,,34,MINGJIN LI,未完成,
GETS,市场,挂单排序,按价格升降序 / 上架时间排序展示,已规划,P1-重要,#Sort,,35,MINGJIN LI,未完成,
GETS,市场,挂单详情,查看单条挂单详情：物品全字段 + 卖家昵称 + 历史价格参考,已规划,P1-重要,#Read,,36,MINGJIN LI,未完成,
GETS,交易,购买物品,买家选定挂单 → 校验金币 → 扣买家加卖家 → 物品入买家背包 → 挂单置 sold → 写交易记录,已规划,P0-关键,#Transaction,事务式：任一步失败回滚,37,MINGJIN LI,未完成,
GETS,交易,金币不足处理,买家金币 < 售价时抛 InsufficientGoldError 并友好提示，事务回滚,已规划,P0-关键,#Exception,自定义异常,38,MINGJIN LI,未完成,
GETS,交易,自购拦截,买家与卖家是同一人时拒绝交易并提示,已规划,P0-关键,#Validation,,39,MINGJIN LI,未完成,
GETS,交易,挂单失效拦截,目标挂单 status ≠ active 时抛 ListingNotActiveError,已规划,P0-关键,#Exception,,40,MINGJIN LI,未完成,
GETS,交易,交易确认,购买前显示确认信息（买卖双方 / 物品 / 金额），输入 y 确认才执行,已规划,P1-重要,#UI,,41,MINGJIN LI,未完成,
GETS,交易队列,挂单成交队列,管理员模式：批量结算待成交挂单（演示队列 FIFO 处理）,已规划,P1-重要,#Structure-Queue,使用自实现 Queue,42,MINGJIN LI,未完成,
GETS,历史与报表,玩家成交历史,查看指定玩家的全部成交记录（作为买家 + 作为卖家），按时间倒序,已完成,P1-重要,#Read,,43,LVZHEN ZHOU,已完成,TransactionService.by_player + CLI 展示
GETS,历史与报表,物品成交历史,查看某个物品（按 item_id 或物品类型）的全部成交记录与价格走势,已完成,P1-重要,#Analytics,,44,LVZHEN ZHOU,已完成,TransactionService.by_item/by_category + CLI 双入口
GETS,历史与报表,价格统计,对指定物品 / 类型计算最低 / 最高 / 平均成交价（递归遍历交易树或线性扫描）,已完成,P1-重要,#Analytics #Recursion,,45,LVZHEN ZHOU,已完成,TransactionService.price_stats/price_stats_by_category + CLI 双入口
GETS,历史与报表,排行榜：富豪榜,按当前金币降序展示前 N 名玩家,已完成,P2-一般,#Analytics,,46,LVZHEN ZHOU,已完成,TransactionService.top_by_gold + CLI 展示
GETS,历史与报表,排行榜：交易额榜,按累计成交金额降序展示玩家,已完成,P2-一般,#Analytics,,47,LVZHEN ZHOU,已完成,TransactionService.top_by_volume + CLI 展示
GETS,历史与报表,系统数据快照,展示总玩家数 / 总物品数 / 活跃挂单数 / 累计交易额,已完成,P2-一般,#Analytics,,48,LVZHEN ZHOU,已完成,TransactionService.snapshot + CLI 展示
GETS,持久化,手动保存,菜单内提供"立即保存"选项，触发将内存数据写入 data/*.json,已规划,P0-关键,#Persistence,,49,LVZHEN ZHOU,未完成,
GETS,持久化,自动保存,每次成功的写操作（创建 / 更新 / 删除 / 交易）后自动落盘,已规划,P0-关键,#Persistence,可对比手动 / 自动两种策略写入决策文档,50,LVZHEN ZHOU,未完成,
GETS,持久化,数据备份,保存前将旧文件备份为 data/backup/*.json.bak，覆写失败时可恢复,已规划,P1-重要,#Persistence,,51,LVZHEN ZHOU,未完成,
GETS,持久化,JSON 序列化,所有模型实现 to_dict() / from_dict()；多态对象按 category 反序列化为正确子类,已规划,P0-关键,#Serialization,,52,LVZHEN ZHOU,未完成,
GETS,持久化,数据重置,菜单提供"重置所有数据"（二次确认），删除 data/*.json 后重启重新初始化,已规划,P2-一般,#Persistence,,53,LVZHEN ZHOU,未完成,
GETS,异常与日志,自定义异常体系,定义 TradingSystemError 基类及子类（金币不足 / 物品不存在 / 挂单失效 / 输入非法 / 数据不一致）,已规划,P0-关键,#Exception,errors/__init__.py,54,YUXI ZHU,未完成,
GETS,异常与日志,全局异常捕获,主菜单循环外层包 try/except，任何未预期异常打印堆栈但程序继续运行,已规划,P0-关键,#Exception,,55,YUXI ZHU,未完成,
GETS,异常与日志,操作日志,关键操作（创建 / 删除 / 交易）追加到 data/operation.log，便于调试,已完成,P2-一般,#Logging,,56,YUXI ZHU,已完成,src/services/logger.py 写入 data/operation.log；Persistence 软警告改走 log.warn
GETS,测试,数据结构单元测试,DoublyLinkedList / Stack / Queue / Tree / BST / HashMap 各自一套单测，覆盖增删查与边界,已规划,P0-关键,#Test,tests/structures/,57,LVZHEN ZHOU,未完成,
GETS,测试,模型单元测试,Item 各子类的多态行为 / Player 业务规则 / Inventory 容量边界 / Listing 状态机,已规划,P0-关键,#Test,tests/models/；各模块负责人各自补充,58,全员,未完成,
GETS,测试,服务集成测试,Market.buy 完整事务、Persistence 保存→重启→加载等价、首次运行 seed 行为,已规划,P0-关键,#Test,tests/services/,59,MINGJIN LI,未完成,
